"r","yr","value"
"wy",2007,151.347576073233
"al",2008,1052.43742698805
"ak",2008,10.552755890726
"az",2008,1014.23342860144
"ar",2008,3510.52993966282
"ca",2008,14015.0541007932
"co",2008,1474.73672585884
"ct",2008,193.995643798912
"de",2008,239.806745689413
"fl",2008,2804.38041798033
"ga",2008,2287.04524667432
"hi",2008,257.511793110968
"id",2008,1482.61009783824
"il",2008,7615.03671613553
"in",2008,4386.53670765204
"ia",2008,9842.6158250703
"ks",2008,4149.99248818035
"ky",2008,1403.81177304166
"la",2008,1308.93562173618
"me",2008,195.122908141173
"md",2008,530.685621030698
"ma",2008,210.049989231119
"mi",2008,2317.23900173902
"mn",2008,6666.53566282406
"ms",2008,1798.23613715171
"mo",2008,3560.50351597529
"mt",2008,1124.50770305652
"ne",2008,5466.36554947397
"nv",2008,102.140615329323
"nh",2008,65.4598794626825
"nj",2008,381.969675830389
"nm",2008,536.103855613616
"ny",2008,1203.34918932534
"nc",2008,3323.78753856977
"nd",2008,4012.30965974783
"oh",2008,3398.2898006784
"ok",2008,1716.31282606375
"or",2008,1488.58441661209
"pa",2008,1518.66535600452
"ri",2008,30.1508788359275
"sc",2008,719.478509491407
"sd",2008,3549.06086326244
"tn",2008,1090.81810112836
"tx",2008,6044.54935966416
"ut",2008,305.573362650635
"vt",2008,136.178326204411
"va",2008,873.467786572652
"wa",2008,2676.64579240318
"wv",2008,105.414386115441
"wi",2008,2346.86049712046
"wy",2008,201.721779986372
"al",2009,1043.09604026184
"ak",2009,10.2990935078444
"az",2009,850.673676752147
"ar",2009,2861.81493121091
"ca",2009,13460.2843459146
"co",2009,1232.1932698381
"ct",2009,187.863094810538
"de",2009,230.919410365569
"fl",2009,2565.25257128234
"ga",2009,2105.70101047842
"hi",2009,274.845684660343
"id",2009,1159.7326426612
"il",2009,6660.73463346095
"in",2009,3783.82502758547
"ia",2009,8329.29570876793
"ks",2009,3563.04423027029
"ky",2009,1361.65054070208
"la",2009,1179.07963368034
"me",2009,183.475979314942
"md",2009,514.169886941661
"ma",2009,178.680625236538
"mi",2009,1886.74889155959
"mn",2009,5109.48918590087
"ms",2009,1600.61075589675
"mo",2009,2944.02274455676
"mt",2009,812.481931291968
"ne",2009,4989.47473139635
"nv",2009,97.6564118825156
"nh",2009,59.1227311759422
"nj",2009,364.880187429588
"nm",2009,488.622268211005
"ny",2009,991.351411696864
"nc",2009,3062.71561244755
"nd",2009,2954.46225992911
"oh",2009,2832.9019231982
"ok",2009,1104.3268721015
"or",2009,1254.23149988829
"pa",2009,1299.23786414272
"ri",2009,28.7194928876256
"sc",2009,702.97222459029
"sd",2009,2874.13815650012
"tn",2009,1141.79185196561
"tx",2009,4499.26362648056
"ut",2009,251.139615681754
"vt",2009,108.787388695151
"va",2009,798.242173978747
"wa",2009,2331.56413636436
"wv",2009,104.415531677407
"wi",2009,1802.2917327948
"wy",2009,206.94874797397
"al",2010,1134.82569346906
"ak",2010,11.4753531781522
"az",2010,1070.10380787171
"ar",2010,3190.11237143335
"ca",2010,15355.3994892142
"co",2010,1510.50762503185
"ct",2010,213.929151527433
"de",2010,241.466798636353
"fl",2010,2963.18106210907
"ga",2010,2587.85764359018
"hi",2010,308.292493760696
