"year","r","hh","n"
2002,"NJ","hh5",182
2002,"NM","hh5",30
2002,"NY","hh5",248
2002,"NC","hh5",66
2002,"ND","hh5",28
2002,"OH","hh5",124
2002,"OK","hh5",28
2002,"OR","hh5",47
2002,"PA","hh5",180
2002,"RI","hh5",69
2002,"SC","hh5",31
2002,"SD","hh5",25
2002,"TN","hh5",46
2002,"TX","hh5",179
2002,"UT","hh5",41
2002,"VT","hh5",47
2002,"VA","hh5",105
2002,"WA","hh5",74
2002,"WV","hh5",27
2002,"WI","hh5",67
2002,"WY","hh5",23
2003,"US","hh1",21429
2003,"US","hh2",20557
2003,"US","hh3",14375
2003,"US","hh4",16431
2003,"US","hh5",4352
2003,"AL","hh1",413
2003,"AK","hh1",212
2003,"AZ","hh1",313
2003,"AR","hh1",346
2003,"CA","hh1",1434
2003,"CO","hh1",340
2003,"CT","hh1",327
2003,"DE","hh1",212
2003,"DC","hh1",347
2003,"FL","hh1",1052
2003,"GA","hh1",314
2003,"HI","hh1",241
2003,"ID","hh1",239
2003,"IL","hh1",707
2003,"IN","hh1",376
2003,"IA","hh1",342
2003,"KS","hh1",369
2003,"KY","hh1",341
2003,"LA","hh1",342
2003,"ME","hh1",377
2003,"MD","hh1",270
2003,"MA","hh1",358
2003,"MI","hh1",546
2003,"MN","hh1",282
2003,"MS","hh1",312
2003,"MO","hh1",316
2003,"MT","hh1",296
2003,"NE","hh1",306
2003,"NV","hh1",393
2003,"NH","hh1",224
2003,"NJ","hh1",434
2003,"NM","hh1",356
2003,"NY","hh1",1145
2003,"NC","hh1",563
2003,"ND","hh1",304
2003,"OH","hh1",594
2003,"OK","hh1",334
2003,"OR","hh1",316
2003,"PA","hh1",728
2003,"RI","hh1",367
2003,"SC","hh1",361
2003,"SD","hh1",324
2003,"TN","hh1",306
2003,"TX","hh1",1192
2003,"UT","hh1",200
2003,"VT","hh1",299
2003,"VA","hh1",315
2003,"WA","hh1",343
2003,"WV","hh1",418
2003,"WI","hh1",333
2003,"WY","hh1",250
2003,"AL","hh2",294
2003,"AK","hh2",285
2003,"AZ","hh2",306
2003,"AR","hh2",297
2003,"CA","hh2",1345
2003,"CO","hh2",456
2003,"CT","hh2",290
2003,"DE","hh2",288
2003,"DC","hh2",245
2003,"FL","hh2",1017
2003,"GA","hh2",321
2003,"HI","hh2",254
2003,"ID","hh2",292
2003,"IL","hh2",696
2003,"IN","hh2",428
2003,"IA","hh2",348
2003,"KS","hh2",374
2003,"KY","hh2",312
2003,"LA","hh2",277
2003,"ME","hh2",360
2003,"MD","hh2",300
2003,"MA","hh2",297
2003,"MI","hh2",537
2003,"MN","hh2",346
2003,"MS","hh2",245
2003,"MO","hh2",308
2003,"MT","hh2",248
2003,"NE","hh2",326
2003,"NV","hh2",402
2003,"NH","hh2",271
2003,"NJ","hh2",418
2003,"NM","hh2",296
2003,"NY","hh2",865
2003,"NC","hh2",454
2003,"ND","hh2",307
2003,"OH","hh2",626
2003,"OK","hh2",314
2003,"OR","hh2",342
2003,"PA","hh2",700
2003,"RI","hh2",360
2003,"SC","hh2",284
2003,"SD","hh2",322
2003,"TN","hh2",275
2003,"TX","hh2",978
2003,"UT","hh2",259
2003,"VT","hh2",301
2003,"VA","hh2",308
2003,"WA","hh2",338
2003,"WV","hh2",326
2003,"WI","hh2",397
2003,"WY","hh2",322
2003,"AL","hh3",191
2003,"AK","hh3",233
2003,"AZ","hh3",204
2003,"AR","hh3",141
2003,"CA","hh3",928
2003,"CO","hh3",311
2003,"CT","hh3",253
2003,"DE","hh3",205
2003,"DC","hh3",136
2003,"FL","hh3",587
2003,"GA","hh3",227
2003,"HI","hh3",209
2003,"ID","hh3",203
2003,"IL","hh3",499
2003,"IN","hh3",252
2003,"IA","hh3",280
2003,"KS","hh3",270
2003,"KY","hh3",165
2003,"LA","hh3",133
2003,"ME","hh3",256
2003,"MD","hh3",244
2003,"MA","hh3",249
2003,"MI","hh3",416
2003,"MN","hh3",289
2003,"MS","hh3",127
2003,"MO","hh3",244
2003,"MT","hh3",163
2003,"NE","hh3",244
2003,"NV","hh3",294
2003,"NH","hh3",265
2003,"NJ","hh3",334
2003,"NM","hh3",152
2003,"NY","hh3",646
2003,"NC","hh3",289
2003,"ND","hh3",234
2003,"OH","hh3",457
2003,"OK","hh3",163
2003,"OR","hh3",235
2003,"PA","hh3",510
2003,"RI","hh3",254
2003,"SC","hh3",163
2003,"SD","hh3",233
2003,"TN","hh3",155
2003,"TX","hh3",564
2003,"UT","hh3",235
2003,"VT","hh3",223
2003,"VA","hh3",269
2003,"WA","hh3",278
2003,"WV","hh3",191
2003,"WI","hh3",322
2003,"WY","hh3",250
2003,"AL","hh4",207
2003,"AK","hh4",283
2003,"AZ","hh4",199
2003,"AR","hh4",115
2003,"CA","hh4",1278
2003,"CO","hh4",417
2003,"CT","hh4",425
2003,"DE","hh4",246
2003,"DC","hh4",188
2003,"FL","hh4",602
2003,"GA","hh4",199
2003,"HI","hh4",295
2003,"ID","hh4",140
2003,"IL","hh4",660
2003,"IN","hh4",311
2003,"IA","hh4",278
2003,"KS","hh4",270
2003,"KY","hh4",200
2003,"LA","hh4",141
2003,"ME","hh4",214
2003,"MD","hh4",297
2003,"MA","hh4",360
2003,"MI","hh4",515
2003,"MN","hh4",385
2003,"MS","hh4",131
2003,"MO","hh4",246
2003,"MT","hh4",97
2003,"NE","hh4",271
2003,"NV","hh4",314
2003,"NH","hh4",363
2003,"NJ","hh4",550
2003,"NM","hh4",139
2003,"NY","hh4",805
2003,"NC","hh4",269
2003,"ND","hh4",173
2003,"OH","hh4",525
2003,"OK","hh4",136
2003,"OR","hh4",232
2003,"PA","hh4",618
2003,"RI","hh4",313
2003,"SC","hh4",206
2003,"SD","hh4",196
2003,"TN","hh4",168
2003,"TX","hh4",619
2003,"UT","hh4",215
2003,"VT","hh4",254
2003,"VA","hh4",363
2003,"WA","hh4",330
2003,"WV","hh4",130
2003,"WI","hh4",344
2003,"WY","hh4",199
2003,"AL","hh5",42
2003,"AK","hh5",56
2003,"AZ","hh5",65
2003,"AR","hh5",31
2003,"CA","hh5",404
2003,"CO","hh5",112
2003,"CT","hh5",143
2003,"DE","hh5",57
2003,"DC","hh5",83
2003,"FL","hh5",183
2003,"GA","hh5",50
2003,"HI","hh5",81
2003,"ID","hh5",29
2003,"IL","hh5",185
2003,"IN","hh5",69
2003,"IA","hh5",44
2003,"KS","hh5",63
2003,"KY","hh5",31
2003,"LA","hh5",24
2003,"ME","hh5",42
2003,"MD","hh5",128
2003,"MA","hh5",145
2003,"MI","hh5",107
2003,"MN","hh5",118
2003,"MS","hh5",24
2003,"MO","hh5",53
2003,"MT","hh5",20
2003,"NE","hh5",57
2003,"NV","hh5",83
2003,"NH","hh5",116
2003,"NJ","hh5",211
2003,"NM","hh5",43
2003,"NY","hh5",256
2003,"NC","hh5",69
2003,"ND","hh5",21
2003,"OH","hh5",97
2003,"OK","hh5",28
2003,"OR","hh5",35
2003,"PA","hh5",175
2003,"RI","hh5",93
2003,"SC","hh5",38
2003,"SD","hh5",37
2003,"TN","hh5",25
2003,"TX","hh5",183
2003,"UT","hh5",54
2003,"VT","hh5",60
2003,"VA","hh5",98
2003,"WA","hh5",71
2003,"WV","hh5",21
2003,"WI","hh5",60
2003,"WY","hh5",32
2004,"US","hh1",20784
2004,"US","hh2",20064
2004,"US","hh3",14274
2004,"US","hh4",16811
2004,"US","hh5",4510
2004,"AL","hh1",408
2004,"AK","hh1",198
2004,"AZ","hh1",297
2004,"AR","hh1",313
2004,"CA","hh1",1480
2004,"CO","hh1",324
2004,"CT","hh1",363
2004,"DE","hh1",227
2004,"DC","hh1",405
2004,"FL","hh1",1002
2004,"GA","hh1",437
2004,"HI","hh1",230
2004,"ID","hh1",192
2004,"IL","hh1",692
2004,"IN","hh1",355
2004,"IA","hh1",319
2004,"KS","hh1",346
2004,"KY","hh1",396
2004,"LA","hh1",290
2004,"ME","hh1",385
2004,"MD","hh1",308
2004,"MA","hh1",320
